#     D        Lambda1      !Teff = 25000
0.00010     19.43320     0
0.00063     20.13080     16
0.00117     20.82830     32
0.00170     21.52580     48
0.00223     22.22340     64
0.00277     22.92090     80
0.00330     23.61840     96
0.00383     24.31597     112
0.00437     25.01920     127
0.00487     25.73060     140
0.00547     26.42033     155
0.00643     27.11320     184
0.00763     27.79277     217
0.00913     28.46627     262
0.01067     29.13740     305
0.01243     29.81060     358
0.01420     30.48380     411
0.01637     31.14193     473
0.01870     31.79060     543
0.02103     32.44080     610
0.02337     33.09267     680
0.02580     33.74430     750
0.02847     34.38013     830
0.03113     35.01597     910
0.03343     35.66400     976
0.03557     36.32417     1040
0.03803     36.96803     1111
0.04070     37.60280     1191
0.04350     38.23320     1272
0.04653     38.85493     1363
0.04980     39.46310     1458
0.05347     40.04680     1568
0.05723     40.62840     1678
0.06123     41.19200     1798
0.06523     41.75567     1918
0.06940     42.30540     2040
0.07360     42.85410     2166
0.07760     43.41770     2283
0.08153     43.98220     2401
0.08523     44.56333     2509
0.08880     45.15710     2616
0.09237     45.74970     2720
0.09597     46.34270     2828
0.09940     46.94210     2928
0.10240     47.56640     3018
0.10540     48.19070     3108
0.10823     48.82127     3190
0.11107     49.45407     3275
0.11387     50.08243     3356
0.11667     50.71140     3440
0.11960     51.34030     3525
0.12270     51.95630     3618
0.12580     52.57240     3711
0.12793     53.22677     3772
0.12990     53.88530     3831
0.13210     54.53940     3894
0.13440     55.18750     3963
0.13583     55.87197     4003
0.13700     56.56750     4038
0.13790     57.25960     4062
0.13857     57.94580     4082
0.13923     58.67328     4102
0.13953     59.39520     4111
0.13980     60.08410     4119
0.14013     60.83730     4129
0.14047     61.57540     4139
0.14068     62.31293     4148
0.14085     63.01465     4158
0.14100     63.70177     18587
0.14100     64.38907     39206
0.14100     65.07637     59825
0.14100     65.76367     80444
0.14100     66.45097     101063
0.14100     67.13827     121682
0.14100     67.82557     142301
0.14077     68.51893     154744
0.14033     69.21227     154757
0.13990     69.93380     154770
0.13950     70.65380     154782
0.13914     71.34513     154793
0.13877     72.10030     154804
0.13843     72.78920     154814
0.13830     73.47637     173363
0.13830     74.16367     193982
0.13830     74.85097     214601
0.13830     75.53827     235220
0.13830     76.22557     255839
0.13830     76.91287     276458
0.13830     77.60017     297077
0.13830     78.28747     317696
0.13830     78.97477     338315
0.13830     79.66207     358934
0.13830     80.34937     379553
0.13830     81.03667     400172
0.13830     81.72397     420791
0.13830     82.41127     441410
0.13830     83.09857     462029
0.13830     83.78587     482648
0.13830     84.47317     503267
0.13830     85.00010     519077
