0.15785    -10.00415
0.15934     -9.95890     0
0.17032     -9.45982     9
0.18086     -9.00593     20
0.19142     -8.55201     31
0.20197     -8.09806     42
0.21251     -7.64411     53
0.22307     -7.19017     64
0.23362     -6.73627     75
0.24416     -6.28238     86
0.25470     -5.82665     97
0.26513     -5.35653     108
0.27537     -4.86246     119
0.28570     -4.38023     130
0.29574     -3.85369     141
0.30508     -3.21145     152
0.31375     -2.46966     163
0.32354     -1.72166     175
0.33093     -0.84931     186
0.33761     0.08449     197
0.34431     1.01105     208
0.35124     1.91231     219
0.35821     2.80819     230
0.36521     3.70206     241
0.37201     4.61249     252
0.37883     5.51900     263
0.38640     6.36299     274
0.39435     7.17498     285
0.40218     7.99740     296
0.40967     8.85237     307
0.41698     9.72257     318
0.42454     10.57533     329
0.43214     11.42782     340
0.43956     12.29512     351
0.44664     13.19278     362
0.45308     14.13115     373
0.45955     15.06129     384
0.46611     15.98559     395
0.47245     16.92615     406
0.47831     17.90521     417
0.48346     18.93871     428
0.48837     19.98643     439
0.49418     20.97414     450
0.50036     21.93841     461
0.50663     22.89515     472
0.51270     23.86251     483
0.51826     24.86028     494
0.52420     25.82838     505
0.53075     26.87376     517
0.53679     27.83795     528
0.54274     28.81276     539
0.54758     29.84438     550
0.55115     30.92454     561
0.55322     32.04145     572
0.55355     33.18272     583
0.55325     34.40988     595
0.55303     35.63478     607
0.55253     36.82092     618
0.55165     38.02666     629
0.55073     39.18005     640
0.55054     40.40924     652
0.55062     41.56941     663
0.55041     42.74478     674
0.54998     43.88866     685
0.54912     45.02752     696
0.54828     46.17079     707
0.54775     47.39825     718
0.54712     48.59306     729
0.54603     49.72651     740
0.54390     50.84744     751
0.54129     51.96603     762
0.53867     53.08457     773
0.53605     54.20314     784
0.53344     55.32174     795
0.53082     56.44028     806
0.52820     57.55887     817
0.52559     58.67746     828
0.52305     59.80050     839
0.52091     60.92231     850
0.51910     62.05398     861
0.51738     63.18564     872
0.51516     64.40054     884
0.51306     65.51911     895
0.51059     66.63779     906
0.50746     67.74023     917
0.50495     68.94100     929
0.50320     70.06208     940
0.50163     71.19832     951
0.50049     72.33423     962
0.49910     73.47559     973
0.49758     74.63715     984
0.49622     75.77152     995
0.49412     76.88845     1006
0.49239     78.03110     1017
0.49144     79.18602     1028
0.49052     80.40383     1040
0.48960     81.61292     1052
0.48867     82.82201     1064
0.48775     84.02875     1076
0.48710     84.92500     1086
